Business Name,Business Type,Address,Phone Number,Rating,Online Delivery,Website
Safron Mediterranean Grill,"Mediterranean, Turkish, Middle Eastern",1049 Washington Ave,+13053978118,4.5,Yes,https://www.yelp.com/biz/safron-mediterranean-grill-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Salty,"Donuts, Coffee & Tea, Bakeries",50 NW 23rd St,+13056398501,4.5,Yes,https://www.yelp.com/biz/the-salty-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Huahua's Taqueria,"Mexican, Tex-Mex",1211 Lincoln Rd,+13055348226,4,Yes,https://www.yelp.com/biz/huahuas-taqueria-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Las Olas Cafe,"Cuban, Cafes",644 6th St,+13055349333,4.5,Yes,https://www.yelp.com/biz/las-olas-cafe-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pubbelly Sushi - Miami Beach,"Sushi Bars, Japanese, Asian Fusion",1424 20th St,+13055319282,4,Yes,https://www.yelp.com/biz/pubbelly-sushi-miami-beach-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Kush,"Burgers, American (New), Beer Bar",2003 N Miami Ave,+13055764500,4,Yes,https://www.yelp.com/biz/kush-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Macchialina Taverna Rustica,"Italian, Cocktail Bars",820 Alton Rd,+13055342124,4,No,https://www.yelp.com/biz/macchialina-taverna-rustica-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Poseidon Greek Restaurant & Outdoor Lounge,"Mediterranean, Greek, Seafood",1131 Washington Ave,+13054568341,4.5,Yes,https://www.yelp.com/biz/poseidon-greek-restaurant-and-outdoor-lounge-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Suviche - Miami Beach,"Sushi Bars, Peruvian, Japanese",1119 16th St,+13057773555,4.5,Yes,https://www.yelp.com/biz/suviche-miami-beach-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
La Ventana Restaurant,Colombian,710 Washington Ave,+13056730912,4.5,Yes,https://www.yelp.com/biz/la-ventana-restaurant-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Under the Mango Tree,"Coffee & Tea, Juice Bars & Smoothies, Acai Bowls",737 5th St,+17865585103,4.5,Yes,https://www.yelp.com/biz/under-the-mango-tree-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Barton G - Miami Beach,"American (New), Venues & Event Spaces",1427 West Ave,+13056728881,3.5,Yes,https://www.yelp.com/biz/barton-g-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Front Porch Cafe,"Breakfast & Brunch, American (Traditional), Southern",1458 Ocean Dr,+13055318300,4,Yes,https://www.yelp.com/biz/the-front-porch-cafe-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Taquiza Tacos,"Mexican, Bars",1351 Collins Ave,+13052032197,4,Yes,https://www.yelp.com/biz/taquiza-tacos-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Osteria Del Teatro,"Italian, Seafood",1200 Collins Ave,+13055387850,4.5,Yes,https://www.yelp.com/biz/osteria-del-teatro-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Havana 1957 Cuban Cuisine Lincoln Road,"Cuban, Bars",819 Lincoln Rd,+13053978683,4,Yes,https://www.yelp.com/biz/havana-1957-cuban-cuisine-lincoln-road-miami-beach-7?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Naked Taco - Miami Beach,"Mexican, Breakfast & Brunch, Cocktail Bars",1111 Collins Ave,+13055348455,4,No,https://www.yelp.com/biz/naked-taco-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Shake Shack South Beach Miami,"American (Traditional), Ice Cream & Frozen Yogurt",1111 Lincoln Rd,+13054347787,4,Yes,https://www.yelp.com/biz/shake-shack-south-beach-miami-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bacon Bitch,"Sandwiches, Breakfast & Brunch, Cocktail Bars",1001 Collins Ave,,4,No,https://www.yelp.com/biz/bacon-bitch-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Oliver's Bistro,"Breakfast & Brunch, American (New), American (Traditional)",959 West Ave,+13055353050,4,Yes,https://www.yelp.com/biz/olivers-bistro-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Abbey Brewing Company,"Breweries, Cocktail Bars",1115-1117 16th St,+13055388110,4.5,No,https://www.yelp.com/biz/abbey-brewing-company-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Social Club,"American (New), Breakfast & Brunch, Cocktail Bars",1717 Collins Ave,+13056041800,4,Yes,https://www.yelp.com/biz/the-social-club-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Yard House,"American (New), Vegetarian, Bars",1681 Lenox Ave,+13055355660,4,Yes,https://www.yelp.com/biz/yard-house-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Lucali,"Italian, Pizza",1930 Bay Rd,,4,Yes,https://www.yelp.com/biz/lucali-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Fratelli Milano,"Italian, Pizza",213 SE 1st St,+13053732300,4.5,Yes,https://www.yelp.com/biz/fratelli-milano-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Byblos Miami,"Mediterranean, Middle Eastern",1545 Collins Ave,+17868642990,4.5,Yes,https://www.yelp.com/biz/byblos-miami-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Full Bloom Vegan,"Vegan, Vegetarian, Health Markets",1670 James Ave,+13053978018,4.5,Yes,https://www.yelp.com/biz/full-bloom-vegan-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Local House,"American (New), Seafood, Breakfast & Brunch",400 Ocean Dr,+13055385529,4,Yes,https://www.yelp.com/biz/the-local-house-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Chalan on the Beach,"Latin American, Peruvian, Seafood",1580 Washington Ave,+13055328880,4,Yes,https://www.yelp.com/biz/chalan-on-the-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Frieze,"Ice Cream & Frozen Yogurt, Desserts",1626 Michigan Ave,+13055380207,4.5,Yes,https://www.yelp.com/biz/the-frieze-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
OLA,"Seafood, Latin American, Venues & Event Spaces",2360 Collins Ave,+13056959125,4.5,No,https://www.yelp.com/biz/ola-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
CRUST,"Italian, Pizza, Wine Bars",668 NW 5th St,+13053717065,4.5,Yes,https://www.yelp.com/biz/crust-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Tequiztlan Mexican Restaurant & Tequila Bar,"Mexican, Cocktail Bars",1884 Bay Rd,+13053978442,4,Yes,https://www.yelp.com/biz/tequiztlan-mexican-restaurant-and-tequila-bar-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Wynwood Walls,Public Art,2520 NW 2nd Ave,+13055763334,4.5,No,https://www.yelp.com/biz/wynwood-walls-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
A Fish Called Avalon,"Seafood, Cocktail Bars, Salad",700 Ocean Dr,+13055321727,4.5,Yes,https://www.yelp.com/biz/a-fish-called-avalon-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bunbury,"Argentine, Steakhouses, Cocktail Bars",55 NE 14th St,+13053336929,4.5,Yes,https://www.yelp.com/biz/bunbury-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Truluck's Ocean's Finest Seafood & Crab,"Seafood, Steakhouses, Venues & Event Spaces",777 Brickell Ave,+13055790035,4.5,Yes,https://www.yelp.com/biz/trulucks-oceans-finest-seafood-and-crab-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sweet Liberty Drinks & Supply Company,"Bars, American (New), Venues & Event Spaces",237 20th St,+13057638217,4.5,Yes,https://www.yelp.com/biz/sweet-liberty-drinks-and-supply-company-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Moreno's Cuba,"Cocktail Bars, Cuban, Cafes",1850 Collins Ave,+13054972341,4,Yes,https://www.yelp.com/biz/morenos-cuba-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Drunken Dragon,"Korean, Cocktail Bars, Pan Asian",1424 Alton Rd,+13053978556,3.5,Yes,https://www.yelp.com/biz/drunken-dragon-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Beaker & Gray,"Cocktail Bars, American (New), Tapas/Small Plates",2637 N Miami Ave,+13056992637,4.5,Yes,https://www.yelp.com/biz/beaker-and-gray-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Toro Toro,"Steakhouses, Tapas Bars, Cocktail Bars",100 Chopin Plz,+13053724710,4,Yes,https://www.yelp.com/biz/toro-toro-miami-7?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Havana 1957 Cuban Cuisine Ocean Drive,"Cuban, Bars",1410 Ocean Dr,+13057638671,4,Yes,https://www.yelp.com/biz/havana-1957-cuban-cuisine-ocean-drive-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Bazaar By José Andrés,"Tapas/Small Plates, Spanish, Venues & Event Spaces",1701 Collins Ave,+13054552999,4,Yes,https://www.yelp.com/biz/the-bazaar-by-jos%C3%A9-andr%C3%A9s-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Tanuki,"Japanese, Chinese, Sushi Bars",1080 Alton Rd,+13056151055,4,Yes,https://www.yelp.com/biz/tanuki-miami-beach-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Fireman Derek's Bake Shop & Cafe,"Desserts, Bakeries, Patisserie/Cake Shop",2545 N Miami Ave,+17867033623,4.5,Yes,https://www.yelp.com/biz/fireman-dereks-bake-shop-and-cafe-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mandolin Aegean Bistro,"Mediterranean, Greek, Turkish",4312 NE 2nd Ave,+13057499140,4.5,Yes,https://www.yelp.com/biz/mandolin-aegean-bistro-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Akash Miami Beach,Indian,1435 Alton Rd,+13053978846,4.5,Yes,https://www.yelp.com/biz/akash-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Crazy About You,"Mediterranean, Italian, Spanish",1155 Brickell Bay Dr,+13059307338,4,Yes,https://www.yelp.com/biz/crazy-about-you-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
INTIMO,"Peruvian, Japanese, Seafood",840 1st St,+13059648006,4.5,Yes,https://www.yelp.com/biz/intimo-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Santorini By Georgios,"Greek, Seafood, Bars",101 Ocean Dr,+13056726624,4.5,Yes,https://www.yelp.com/biz/santorini-by-georgios-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
SUGARCANE raw bar grill,"Sushi Bars, Tapas/Small Plates, Cocktail Bars",3252 NE 1st Ave,+17863690353,4,Yes,https://www.yelp.com/biz/sugarcane-raw-bar-grill-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mercato della Pescheria Miami Beach,"Italian, Seafood",412 Española Way,+13055345822,4.5,Yes,https://www.yelp.com/biz/mercato-della-pescheria-espanola-way-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Lagniappe,"Music Venues, Wine Bars, American (Traditional)",3425 NE 2nd Ave,+13055760108,4.5,Yes,https://www.yelp.com/biz/lagniappe-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Icebox Cafe Miami Beach,"Breakfast & Brunch, American (New), Bakeries",1855 Purdy Ave,+13055388448,4,Yes,https://www.yelp.com/biz/icebox-cafe-miami-beach-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Zuma,"Japanese, Sushi Bars",270 Biscayne Blvd Way,+13055770277,4,Yes,https://www.yelp.com/biz/zuma-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Apple A Day Cafe,"Juice Bars & Smoothies, Salad, Breakfast & Brunch",1534 Alton Rd,+13055384569,4,Yes,https://www.yelp.com/biz/apple-a-day-cafe-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Havana Vieja,"Cuban, Latin American, Bars",944 Washington Ave,+17867399749,4.5,Yes,https://www.yelp.com/biz/havana-vieja-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
B Bistro + Bakery,"Bakeries, Breakfast & Brunch, American (New)",600 Brickell Ave,+13053306310,4.5,Yes,https://www.yelp.com/biz/b-bistro-bakery-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Juvia,"Asian Fusion, French",1111 Lincoln Rd,+13057638272,3.5,Yes,https://www.yelp.com/biz/juvia-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Fratelli La Bufala,"Pizza, Italian, Mediterranean",437 Washington Ave,+13055320700,4,No,https://www.yelp.com/biz/fratelli-la-bufala-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Lobster Shack,Seafood,40 South Pointe Dr,+13057638230,4.5,Yes,https://www.yelp.com/biz/the-lobster-shack-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
PLANTA South Beach,"Breakfast & Brunch, Sushi Bars, Pizza",850 Commerce St,+13053978513,4,Yes,https://www.yelp.com/biz/planta-south-beach-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mango's Tropical Cafe,"Dance Clubs, American (Traditional), Bars",900 Ocean Dr,+13056734422,3.5,Yes,https://www.yelp.com/biz/mangos-tropical-cafe-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Blocks Pizza Deli,"Pizza, Italian, Delis",1447 Washington Ave,+13057638788,4.5,Yes,https://www.yelp.com/biz/blocks-pizza-deli-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pollos & Jarras,Peruvian,115 NE 3rd Ave,+17865674940,4.5,Yes,https://www.yelp.com/biz/pollos-and-jarras-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mignonette,"American (New), Seafood, Live/Raw Food",210 NE 18th St,+13053744635,4.5,Yes,https://www.yelp.com/biz/mignonette-miami-7?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
The Taco Stand,Mexican,313 NW 25th St,+17865804948,4.5,Yes,https://www.yelp.com/biz/the-taco-stand-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
YUCA 105,"Cuban, Peruvian",1555 Washington Ave,+17865773500,4.5,Yes,https://www.yelp.com/biz/yuca-105-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Big Pink,"Pizza, Diners",157 Collins Ave,+13055324700,3.5,Yes,https://www.yelp.com/biz/big-pink-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
